frame,numero_pers,distance_x,distance_y,distance_z
27,5,194.783235,-1164.6478499999998,0
27,6,261.44167,-1209.12625,0
27,7,-160.17426,-1167.69995,0
27,8,-691.25052,-1503.7609499999999,0
27,9,-232.925795,-1149.7779,0
27,10,-309.31189,-1176.7853,0
27,11,-412.638945,-975.54755,0
27,12,-383.34378,-111.8817,0
27,13,-706.247525,-1214.7584499999998,0
28,0,-14.386851499999999,178.134065,0
28,1,352.360375,-113.02376000000001,0
28,2,-70.3405305,-289.2208,0
28,3,126.43086,-1204.1979000000001,0
28,4,325.57115,-1122.7433,0
28,5,194.389705,-1166.1194,0
28,6,261.486425,-1209.6972,0
28,7,-159.987255,-1166.1426999999999,0
28,8,-691.32205,-1504.2932,0
28,9,-232.93452,-1149.89985,0
28,10,-309.3367,-1176.71595,0
28,11,-413.279835,-978.08632,0
28,12,-382.9024,-111.142845,0
28,13,-706.2101749999999,-1215.0509499999998,0
29,0,-13.211604,180.254975,0
29,1,352.35817,-112.952675,0
29,2,-100.922,-289.42813,0
29,3,126.1993625,-1204.6469,0
29,4,325.5724,-1122.7683000000002,0
29,5,194.369745,-1166.0291499999998,0
29,6,261.51081999999997,-1209.7968500000002,0
29,7,-160.15731499999998,-1166.6688,0
29,8,-691.344615,-1504.27185,0
29,9,-232.93572,-1149.6737,0
29,10,-309.3577,-1176.7717499999999,0
29,11,-412.31089499999996,-972.75617,0
29,12,-382.78043,-111.06355,0
29,13,-708.08695,-1214.8831,0
30,0,-13.2019535,184.65928,0
30,1,352.34659,-112.92490000000001,0
30,2,-70.057737,-289.80198,0
30,3,126.09727000000001,-1204.99745,0
30,4,325.57579,-1122.6581999999999,0
30,5,194.37288,-1165.9929499999998,0
30,6,261.627815,-1209.9908,0
30,7,-160.16396,-1167.8609999999999,0
30,8,-691.3555200000001,-1504.2687999999998,0
30,9,-232.964605,-1149.6523499999998,0
30,10,-309.34343,-1176.73915,0
30,11,-415.653735,-1004.807325,0
30,12,-382.7853,-111.06884,0
30,13,-705.94718,-1214.20185,0
31,0,-12.974398999999998,187.00334500000002,0
31,1,352.363175,-113.00466,0
31,2,-70.31604200000001,-289.05066,0
31,3,126.22421500000002,-1205.08295,0
31,4,325.44930999999997,-1122.6176500000001,0
